"","borough","year","party","seats","leader","clerk","control"
"1601.1","Waltham Forest",1969,"Conservative",44,"Tom Brandon","Edna A Cann","Conservative"
"1601.2","Waltham Forest",1969,"Labour Party",4,"Tom Brandon","Edna A Cann","Conservative"
"1602.1","Waltham Forest",1970,"Conservative",44,"Tom Brandon","Edna A Cann","Conservative"
"1602.2","Waltham Forest",1970,"Labour Party",4,"Tom Brandon","Edna A Cann","Conservative"
"1603.1","Waltham Forest",1971,"Labour Party",39,"Bill Pearmine","Edna A Cann","Labour"
"1603.2","Waltham Forest",1971,"Conservative",9,"Bill Pearmine","Edna A Cann","Labour"
"1604.1","Waltham Forest",1972,"Labour Party",39,"Bill Pearmine","Edna A Cann","Labour"
"1604.2","Waltham Forest",1972,"Conservative",9,"Bill Pearmine","Edna A Cann","Labour"
"1605.1","Waltham Forest",1973,"Labour Party",39,"Bill Pearmine","Leonard Knox","Labour"
"1605.2","Waltham Forest",1973,"Conservative",9,"Bill Pearmine","Leonard Knox","Labour"
"1606.1","Waltham Forest",1974,"Labour Party",36,"Bill Pearmine","Leonard Knox","Labour"
"1606.2","Waltham Forest",1974,"Conservative",12,"Bill Pearmine","Leonard Knox","Labour"
"1607.1","Waltham Forest",1975,"Labour Party",36,"Bill Pearmine","Leonard Knox","Labour"
"1607.2","Waltham Forest",1975,"Conservative",12,"Bill Pearmine","Leonard Knox","Labour"
"1608.1","Waltham Forest",1976,"Labour Party",36,"Bill Pearmine","Leonard Knox","Labour"
"1608.2","Waltham Forest",1976,"Conservative",12,"Bill Pearmine","Leonard Knox","Labour"
"1609.1","Waltham Forest",1977,"Labour Party",36,"Bill Pearmine","Leonard Knox","Labour"
"1609.2","Waltham Forest",1977,"Conservative",12,"Bill Pearmine","Leonard Knox","Labour"
"1610.1","Waltham Forest",1978,"Labour Party",36,"Bill Pearmine","Leonard Knox","Labour"
"1610.2","Waltham Forest",1978,"Conservative",21,"Bill Pearmine","Leonard Knox","Labour"
"1611.1","Waltham Forest",1979,"Labour Party",36,"Bill Pearmine","Leonard Knox","Labour"
"1611.2","Waltham Forest",1979,"Conservative",21,"Bill Pearmine","Leonard Knox","Labour"
"1612.1","Waltham Forest",1980,"Labour Party",36,"Bill Pearmine","Leonard Knox","Labour"
"1612.2","Waltham Forest",1980,"Conservative",21,"Bill Pearmine","Leonard Knox","Labour"
"1613.1","Waltham Forest",1981,"Labour Party",36,"Bill Pearmine","Leonard Knox","Labour"
"1613.2","Waltham Forest",1981,"Conservative",21,"Bill Pearmine","Leonard Knox","Labour"
"1614.1","Waltham Forest",1982,"Labour Party",26,"Gerald King","Leonard Knox","No Overall Control"
"1614.2","Waltham Forest",1982,"Conservative",25,"Gerald King","Leonard Knox","No Overall Control"
"1614.3","Waltham Forest",1982,"Liberal Democrats",6,"Gerald King","Leonard Knox","No Overall Control"
"1615.1","Waltham Forest",1983,"Labour Party",26,"Gerald King","Leonard Knox","No Overall Control"
"1615.2","Waltham Forest",1983,"Conservative",25,"Gerald King","Leonard Knox","No Overall Control"
"1615.3","Waltham Forest",1983,"Liberal Democrats",6,"Gerald King","Leonard Knox","No Overall Control"
"1616.1","Waltham Forest",1984,"Labour Party",26,"Gerald King","Leonard Knox","No Overall Control"
"1616.2","Waltham Forest",1984,"Conservative",25,"Gerald King","Leonard Knox","No Overall Control"
"1616.3","Waltham Forest",1984,"Liberal Democrats",6,"Gerald King","Leonard Knox","No Overall Control"
"1617.1","Waltham Forest",1985,"Labour Party",26,"Gerald King","Leonard Knox","No Overall Control"
"1617.2","Waltham Forest",1985,"Conservative",25,"Gerald King","Leonard Knox","No Overall Control"
"1617.3","Waltham Forest",1985,"Liberal Democrats",6,"Gerald King","Leonard Knox","No Overall Control"
"1618.1","Waltham Forest",1986,"Labour Party",31,"Neil Gerrard","Leonard Knox","Labour"
"1618.2","Waltham Forest",1986,"Conservative",16,"Neil Gerrard","Leonard Knox","Labour"
"1618.3","Waltham Forest",1986,"Liberal Democrats",10,"Neil Gerrard","Leonard Knox","Labour"
"1619.1","Waltham Forest",1987,"Labour Party",31,"Neil Gerrard","Leonard Knox","Labour"
"1619.2","Waltham Forest",1987,"Conservative",16,"Neil Gerrard","Leonard Knox","Labour"
"1619.3","Waltham Forest",1987,"Liberal Democrats",10,"Neil Gerrard","Leonard Knox","Labour"
"1620.1","Waltham Forest",1988,"Labour Party",31,"Neil Gerrard","Leonard Knox","Labour"
"1620.2","Waltham Forest",1988,"Conservative",16,"Neil Gerrard","Leonard Knox","Labour"
"1620.3","Waltham Forest",1988,"Liberal Democrats",10,"Neil Gerrard","Leonard Knox","Labour"
"1621.1","Waltham Forest",1989,"Labour Party",31,"Neil Gerrard","Leonard Knox","Labour"
"1621.2","Waltham Forest",1989,"Conservative",16,"Neil Gerrard","Leonard Knox","Labour"
"1621.3","Waltham Forest",1989,"Liberal Democrats",10,"Neil Gerrard","Leonard Knox","Labour"
"1622.1","Waltham Forest",1990,"Labour Party",30,"Clive Morton","Alan Tobias","Labour"
"1622.2","Waltham Forest",1990,"Conservative",16,"Clive Morton","Alan Tobias","Labour"
"1622.3","Waltham Forest",1990,"Liberal Democrats",11,"Clive Morton","Alan Tobias","Labour"
"1623.1","Waltham Forest",1991,"Labour Party",30,"Clive Morton","Alan Tobias","Labour"
"1623.2","Waltham Forest",1991,"Conservative",16,"Clive Morton","Alan Tobias","Labour"
"1623.3","Waltham Forest",1991,"Liberal Democrats",11,"Clive Morton","Alan Tobias","Labour"
"1624.1","Waltham Forest",1992,"Labour Party",30,"Evan Jones","Alan Tobias","Labour"
"1624.2","Waltham Forest",1992,"Conservative",16,"Evan Jones","Alan Tobias","Labour"
"1624.3","Waltham Forest",1992,"Liberal Democrats",11,"Evan Jones","Alan Tobias","Labour"
"1625.1","Waltham Forest",1993,"Labour Party",30,"Evan Jones","Alan Tobias","Labour"
"1625.2","Waltham Forest",1993,"Conservative",16,"Evan Jones","Alan Tobias","Labour"
"1625.3","Waltham Forest",1993,"Liberal Democrats",11,"Evan Jones","Alan Tobias","Labour"
"1626.1","Waltham Forest",1994,"Labour Party",27,"Huw Morgan-Thomas","Alan Tobias","No Overall ControlLabour minority"
"1626.2","Waltham Forest",1994,"Conservative",16,"Huw Morgan-Thomas","Alan Tobias","No Overall ControlLabour minority"
"1626.3","Waltham Forest",1994,"Liberal Democrats",14,"Huw Morgan-Thomas","Alan Tobias","No Overall ControlLabour minority"
"1627.1","Waltham Forest",1995,"Labour Party",26,"Huw Morgan-Thomas","Alan Tobias","No Overall ControlLabour minority"
"1627.2","Waltham Forest",1995,"Conservative",16,"Huw Morgan-Thomas","Alan Tobias","No Overall ControlLabour minority"
"1627.3","Waltham Forest",1995,"Liberal Democrats",14,"Huw Morgan-Thomas","Alan Tobias","No Overall ControlLabour minority"
"1627.4","Waltham Forest",1995,"Independent",1,"Huw Morgan-Thomas","Alan Tobias","No Overall ControlLabour minority"
"1628.1","Waltham Forest",1996,"Labour Party",26,"Huw Morgan-Thomas","Alan Tobias","No Overall ControlLabour minority"
"1628.2","Waltham Forest",1996,"Conservative",16,"Huw Morgan-Thomas","Alan Tobias","No Overall ControlLabour minority"
"1628.3","Waltham Forest",1996,"Liberal Democrats",14,"Huw Morgan-Thomas","Alan Tobias","No Overall ControlLabour minority"
"1628.4","Waltham Forest",1996,"Independent",1,"Huw Morgan-Thomas","Alan Tobias","No Overall ControlLabour minority"
"1629.1","Waltham Forest",1997,"Labour Party",26,"Huw Morgan-Thomas","Alan Tobias","No Overall ControlLabour minority"
"1629.2","Waltham Forest",1997,"Conservative",16,"Huw Morgan-Thomas","Alan Tobias","No Overall ControlLabour minority"
"1629.3","Waltham Forest",1997,"Liberal Democrats",13,"Huw Morgan-Thomas","Alan Tobias","No Overall ControlLabour minority"
"1629.4","Waltham Forest",1997,"Independent",2,"Huw Morgan-Thomas","Alan Tobias","No Overall ControlLabour minority"
"1630.1","Waltham Forest",1998,"Labour Party",30,"Tony Buckley","Alan Tobias","Labour"
"1630.2","Waltham Forest",1998,"Conservative",14,"Tony Buckley","Alan Tobias","Labour"
"1630.3","Waltham Forest",1998,"Liberal Democrats",12,"Tony Buckley","Alan Tobias","Labour"
"1630.4","Waltham Forest",1998,"Independent Conservative",1,"Tony Buckley","Alan Tobias","Labour"
"1631.1","Waltham Forest",1999,"Labour Party",30,"Tony Buckley","Alan Tobias","Labour"
"1631.2","Waltham Forest",1999,"Conservative",14,"Tony Buckley","Alan Tobias","Labour"
"1631.3","Waltham Forest",1999,"Liberal Democrats",12,"Tony Buckley","Alan Tobias","Labour"
"1631.4","Waltham Forest",1999,"Independent",1,"Tony Buckley","Alan Tobias","Labour"
"1632.1","Waltham Forest",2000,"Labour Party",30,"Tony Buckley","Simon White","Labour"
"1632.2","Waltham Forest",2000,"Conservative",14,"Tony Buckley","Simon White","Labour"
"1632.3","Waltham Forest",2000,"Liberal Democrats",12,"Tony Buckley","Simon White","Labour"
"1632.4","Waltham Forest",2000,"Independent Conservative",1,"Tony Buckley","Simon White","Labour"
"1633.1","Waltham Forest",2001,"Labour Party",30,"Tony Buckley","Simon White","Labour"
"1633.2","Waltham Forest",2001,"Conservative",14,"Tony Buckley","Simon White","Labour"
"1633.3","Waltham Forest",2001,"Liberal Democrats",12,"Tony Buckley","Simon White","Labour"
"1633.4","Waltham Forest",2001,"Independent Conservative",1,"Tony Buckley","Simon White","Labour"
"1634.1","Waltham Forest",2002,"Labour Party",29,"Tony Buckley","Simon White","No Overall Control"
"1634.2","Waltham Forest",2002,"Conservative",18,"Tony Buckley","Simon White","No Overall Control"
"1634.3","Waltham Forest",2002,"Liberal Democrats",13,"Tony Buckley","Simon White","No Overall Control"
"1635.1","Waltham Forest",2003,"Labour Party",26,"Clyde Loakes","Simon White","No Overall Control"
"1635.2","Waltham Forest",2003,"Conservative",18,"Clyde Loakes","Simon White","No Overall Control"
"1635.3","Waltham Forest",2003,"Liberal Democrats",14,"Clyde Loakes","Simon White","No Overall Control"
"1635.4","Waltham Forest",2003,"Independent",1,"Clyde Loakes","Simon White","No Overall Control"
"1635.5","Waltham Forest",2003,"Vacancies",1,"Clyde Loakes","Simon White","No Overall Control"
"1636.1","Waltham Forest",2004,"Labour Party",27,"Clyde Loakes","Jacquie Dean","No Overall Control"
"1636.2","Waltham Forest",2004,"Conservative",18,"Clyde Loakes","Jacquie Dean","No Overall Control"
"1636.3","Waltham Forest",2004,"Liberal Democrats",15,"Clyde Loakes","Jacquie Dean","No Overall Control"
"1637.1","Waltham Forest",2005,"Labour Party",27,"Clyde Loakes","Jacquie Dean","No Overall Control"
"1637.2","Waltham Forest",2005,"Conservative",18,"Clyde Loakes","Jacquie Dean","No Overall Control"
"1637.3","Waltham Forest",2005,"Liberal Democrats",15,"Clyde Loakes","Jacquie Dean","No Overall Control"
"1638.1","Waltham Forest",2006,"Labour Party",26,"Clyde Loakes","Jacquie Dean","No Overall Control"
"1638.2","Waltham Forest",2006,"Liberal Democrats",19,"Clyde Loakes","Jacquie Dean","No Overall Control"
"1638.3","Waltham Forest",2006,"Conservative",15,"Clyde Loakes","Jacquie Dean","No Overall Control"
"1639.1","Waltham Forest",2007,"Labour Party",26,"Clyde Loakes","Roger Taylor","No Overall ControlCoalition of Labour and Lib Dems"
"1639.2","Waltham Forest",2007,"Liberal Democrats",19,"Clyde Loakes","Roger Taylor","No Overall ControlCoalition of Labour and Lib Dems"
"1639.3","Waltham Forest",2007,"Conservative",15,"Clyde Loakes","Roger Taylor","No Overall ControlCoalition of Labour and Lib Dems"
"1640.1","Waltham Forest",2008,"Labour Party",25,"Clyde Loakes","Andrew Kilburn","No Overall ControlCoalition of Labour and Lib Dems"
"1640.2","Waltham Forest",2008,"Liberal Democrats",20,"Clyde Loakes","Andrew Kilburn","No Overall ControlCoalition of Labour and Lib Dems"
"1640.3","Waltham Forest",2008,"Conservative",15,"Clyde Loakes","Andrew Kilburn","No Overall ControlCoalition of Labour and Lib Dems"
"1641.1","Waltham Forest",2009,"Labour Party",24,"Chris Robbins","Andrew Kilburn","No Overall ControlCoalition of Labour and Lib Dems"
"1641.2","Waltham Forest",2009,"Liberal Democrats",21,"Chris Robbins","Andrew Kilburn","No Overall ControlCoalition of Labour and Lib Dems"
"1641.3","Waltham Forest",2009,"Conservative",15,"Chris Robbins","Andrew Kilburn","No Overall ControlCoalition of Labour and Lib Dems"
"1642.1","Waltham Forest",2010,"Labour Party",37,"Chris Robbins","Martin Esom","Labour"
"1642.2","Waltham Forest",2010,"Conservative",18,"Chris Robbins","Martin Esom","Labour"
"1642.3","Waltham Forest",2010,"Liberal Democrats",5,"Chris Robbins","Martin Esom","Labour"
"1643.1","Waltham Forest",2011,"Labour Party",36,"Chris Robbins","Martin Esom","Labour"
"1643.2","Waltham Forest",2011,"Conservative",18,"Chris Robbins","Martin Esom","Labour"
"1643.3","Waltham Forest",2011,"Liberal Democrats",6,"Chris Robbins","Martin Esom","Labour"
"1644.1","Waltham Forest",2012,"Labour Party",36,"Chris Robbins","Martin Esom","Labour"
"1644.2","Waltham Forest",2012,"Conservative",18,"Chris Robbins","Martin Esom","Labour"
"1644.3","Waltham Forest",2012,"Liberal Democrats",6,"Chris Robbins","Martin Esom","Labour"
"1645.1","Waltham Forest",2013,"Labour Party",36,"Chris Robbins","Martin Esom","Labour"
"1645.2","Waltham Forest",2013,"Conservative",18,"Chris Robbins","Martin Esom","Labour"
"1645.3","Waltham Forest",2013,"Liberal Democrats",6,"Chris Robbins","Martin Esom","Labour"
"1646.1","Waltham Forest",2014,"Labour Party",44,"Chris Robbins","Martin Esom","Labour"
"1646.2","Waltham Forest",2014,"Conservative",16,"Chris Robbins","Martin Esom","Labour"
"1647.1","Waltham Forest",2015,"Labour Party",44,"Chris Robbins","Martin Esom","Labour"
"1647.2","Waltham Forest",2015,"Conservative",16,"Chris Robbins","Martin Esom","Labour"
"1648.1","Waltham Forest",2016,"Labour Party",44,"Chris Robbins","Martin Esom","Labour"
"1648.2","Waltham Forest",2016,"Conservative",16,"Chris Robbins","Martin Esom","Labour"
"1649.1","Waltham Forest",2017,"Labour Party",43,"Chris Robbins","Martin Esom","Labour"
"1649.2","Waltham Forest",2017,"Conservative",16,"Chris Robbins","Martin Esom","Labour"
"1649.3","Waltham Forest",2017,"Independent",1,"Chris Robbins","Martin Esom","Labour"
"1650.1","Waltham Forest",2018,"Labour Party",46,"Clare Coghill","Martin Esom","Labour"
"1650.2","Waltham Forest",2018,"Conservative",1,"Clare Coghill","Martin Esom","Labour"
"1651.1","Wandsworth",1964,"Labour Party",47,"S Wellbelove","DC Kerr","Labour"
"1651.2","Wandsworth",1964,"Conservative",13,"S Wellbelove","DC Kerr","Labour"
"1652.1","Wandsworth",1965,"Labour Party",47,"S Wellbelove","DC Kerr","Labour"
"1652.2","Wandsworth",1965,"Conservative",13,"S Wellbelove","DC Kerr","Labour"
"1653.1","Wandsworth",1966,"Labour Party",47,"S Sporle","DC Kerr","Labour"
"1653.2","Wandsworth",1966,"Conservative",13,"S Sporle","DC Kerr","Labour"
"1654.1","Wandsworth",1967,"Labour Party",47,"S Sporle","DC Kerr","Labour"
"1654.2","Wandsworth",1967,"Conservative",13,"S Sporle","DC Kerr","Labour"
"1655.1","Wandsworth",1968,"Conservative",48,"R Ash","BA Payton","Conservative"
"1655.2","Wandsworth",1968,"Labour Party",12,"R Ash","BA Payton","Conservative"
"1656.1","Wandsworth",1969,"Conservative",48,"R Ash","Norman White","Conservative"
"1656.2","Wandsworth",1969,"Labour Party",12,"R Ash","Norman White","Conservative"
"1657.1","Wandsworth",1970,"Conservative",48,"R Ash","Norman White","Conservative"
"1657.2","Wandsworth",1970,"Labour Party",12,"R Ash","Norman White","Conservative"
"1658.1","Wandsworth",1971,"Labour Party",53,"I McGarry","Norman White","Labour"
"1658.2","Wandsworth",1971,"Conservative",7,"I McGarry","Norman White","Labour"
"1659.1","Wandsworth",1972,"Labour Party",53,"F Sims & I McGarry","Norman White","Labour"
"1659.2","Wandsworth",1972,"Conservative",7,"F Sims & I McGarry","Norman White","Labour"
"1660.1","Wandsworth",1973,"Labour Party",53,"I McGarry","Norman White","Labour"
"1660.2","Wandsworth",1973,"Conservative",7,"I McGarry","Norman White","Labour"
"1661.1","Wandsworth",1974,"Labour Party",48,"I McGarry","Norman White","Labour"
"1661.2","Wandsworth",1974,"Conservative",12,"I McGarry","Norman White","Labour"
"1662.1","Wandsworth",1975,"Labour Party",48,"I McGarry","Norman White","Labour"
"1662.2","Wandsworth",1975,"Conservative",12,"I McGarry","Norman White","Labour"
"1663.1","Wandsworth",1976,"Labour Party",48,"J Tilley","Norman White","Labour"
"1663.2","Wandsworth",1976,"Conservative",12,"J Tilley","Norman White","Labour"
"1664.1","Wandsworth",1977,"Labour Party",48,"J Tilley","Lionel Akid","Labour"
"1664.2","Wandsworth",1977,"Conservative",12,"J Tilley","Lionel Akid","Labour"
"1665.1","Wandsworth",1978,"Conservative",36,"A Belton & D Mallam","Lionel Akid","Conservative"
"1665.2","Wandsworth",1978,"Labour Party",25,"A Belton & D Mallam","Lionel Akid","Conservative"
"1666.1","Wandsworth",1979,"Conservative",36,"C Chope","Lionel Akid","Conservative"
"1666.2","Wandsworth",1979,"Labour Party",25,"C Chope","Lionel Akid","Conservative"
"1667.1","Wandsworth",1980,"Conservative",36,"C Chope","Fred Haynes","Conservative"
"1667.2","Wandsworth",1980,"Labour Party",25,"C Chope","Fred Haynes","Conservative"
"1668.1","Wandsworth",1981,"Conservative",36,"C Chope","Fred Haynes","Conservative"
"1668.2","Wandsworth",1981,"Labour Party",25,"C Chope","Fred Haynes","Conservative"
"1669.1","Wandsworth",1982,"Conservative",33,"C Chope","Fred Haynes","Conservative"
"1669.2","Wandsworth",1982,"Labour Party",27,"C Chope","Fred Haynes","Conservative"
"1669.3","Wandsworth",1982,"Liberal Democrats",1,"C Chope","Fred Haynes","Conservative"
"1670.1","Wandsworth",1983,"Conservative",33,"Paul Beresford","Fred Haynes","Conservative"
"1670.2","Wandsworth",1983,"Labour Party",27,"Paul Beresford","Fred Haynes","Conservative"
"1670.3","Wandsworth",1983,"Liberal Democrats",1,"Paul Beresford","Fred Haynes","Conservative"
"1671.1","Wandsworth",1984,"Conservative",33,"Paul Beresford","Albert Newman","Conservative"
"1671.2","Wandsworth",1984,"Labour Party",27,"Paul Beresford","Albert Newman","Conservative"
"1671.3","Wandsworth",1984,"Liberal Democrats",1,"Paul Beresford","Albert Newman","Conservative"
"1672.1","Wandsworth",1985,"Conservative",33,"Paul Beresford","Albert Newman","Conservative"
"1672.2","Wandsworth",1985,"Labour Party",27,"Paul Beresford","Albert Newman","Conservative"
"1672.3","Wandsworth",1985,"Liberal Democrats",1,"Paul Beresford","Albert Newman","Conservative"
"1673.1","Wandsworth",1986,"Conservative",31,"Paul Beresford","Albert Newman","Conservative"
"1673.2","Wandsworth",1986,"Labour Party",30,"Paul Beresford","Albert Newman","Conservative"
"1674.1","Wandsworth",1987,"Conservative",31,"Paul Beresford","Gerald Jones","Conservative"
"1674.2","Wandsworth",1987,"Labour Party",30,"Paul Beresford","Gerald Jones","Conservative"
"1675.1","Wandsworth",1988,"Conservative",31,"Paul Beresford","Gerald Jones","Conservative"
"1675.2","Wandsworth",1988,"Labour Party",30,"Paul Beresford","Gerald Jones","Conservative"
"1676.1","Wandsworth",1989,"Conservative",31,"Paul Beresford","Gerald Jones","Conservative"
"1676.2","Wandsworth",1989,"Labour Party",30,"Paul Beresford","Gerald Jones","Conservative"
"1677.1","Wandsworth",1990,"Conservative",48,"Paul Beresford","Gerald Jones","Conservative"
"1677.2","Wandsworth",1990,"Labour Party",13,"Paul Beresford","Gerald Jones","Conservative"
"1678.1","Wandsworth",1991,"Conservative",48,"Paul Beresford","Gerald Jones","Conservative"
"1678.2","Wandsworth",1991,"Labour Party",13,"Paul Beresford","Gerald Jones","Conservative"
"1679.1","Wandsworth",1992,"Conservative",48,"Edward Lister","Gerald Jones","Conservative"
"1679.2","Wandsworth",1992,"Labour Party",13,"Edward Lister","Gerald Jones","Conservative"
"1680.1","Wandsworth",1993,"Conservative",48,"Edward Lister","Gerald Jones","Conservative"
"1680.2","Wandsworth",1993,"Labour Party",13,"Edward Lister","Gerald Jones","Conservative"
"1681.1","Wandsworth",1994,"Conservative",45,"Edward Lister","Gerald Jones","Conservative"
"1681.2","Wandsworth",1994,"Labour Party",16,"Edward Lister","Gerald Jones","Conservative"
"1682.1","Wandsworth",1995,"Conservative",45,"Edward Lister","Gerald Jones","Conservative"
"1682.2","Wandsworth",1995,"Labour Party",16,"Edward Lister","Gerald Jones","Conservative"
